track_id,artists,album_name,track_name
31i56LZnwE6uSu3exoHjtB,Bad Bunny,Un Verano Sin Ti,Neverita
0WtM2NBVQNNJLh6scP13H8,Rema;Selena Gomez,Calm Down (with Selena Gomez),Calm Down (with Selena Gomez)
5O2P9iiztwhomNh8xkR9lJ,One Direction,FOUR (Deluxe),Night Changes
4cktbXiXOapiLBMprHFErI,Maroon 5,JORDI (Deluxe),Memories
4SqWKzw0CbA05TGszDgMlc,The Walters,I Love You So,I Love You So
3SdTKo2uVsxFblQjpScoHy,Ben E. King,Don't Play That Song (Mono),Stand by Me
39cmB3ZoTOLwOTq7tMNqKa,Alok;Zeeba;Bruno Martini,Hear Me Now (feat. Zeeba),Hear Me Now
6VrQTLzzuyGIYjUDe4kAZk,Bad Bunny,Un Verano Sin Ti,Un Coco
7tqhbajSfrz2F7E1Z75ASX,Marvin Gaye;Tammi Terrell,United,Ain't No Mountain High Enough
41P6Tnd8KIHqON0QIydx6a,beabadoobee,Beatopia,the perfect pair
